"contrast","estimate","SE","df","t.ratio","p.value"
"LCG len300 - LCG len900",-0.15486903680003,7.59087854909742e-05,19961,-2040.19911263689,0
"MT len300 - LCG len900",-0.169873607600003,0.000105442699916578,19961,-1611.05138368421,0
"RANDU len300 - LCG len900",-0.169948414600007,0.000102070424445342,19961,-1665.01134411382,0
"XOR len300 - LCG len900",-0.1697862008,0.000101654454375876,19961,-1670.22883396925,0
"LCG len600 - LCG len900",-0.0720234150000006,2.55640379927519e-05,19961,-2817.37239713152,0
"MT len600 - LCG len900",-0.114850059800002,8.56116995227063e-05,19961,-1341.52295118894,0
"RANDU len600 - LCG len900",-0.114847131399993,9.11164714359107e-05,19961,-1260.44314041259,0
"XOR len600 - LCG len900",-0.114771354000001,8.6550112477061e-05,19961,-1326.06822469953,0
"MT len900 - LCG len900",-0.0781337362000004,9.01043073974102e-05,19961,-867.147625422468,0
"RANDU len900 - LCG len900",-0.0781484787999992,8.55524480723541e-05,19961,-913.456956064037,0
"XOR len900 - LCG len900",-0.0781802283999991,9.38941774570685e-05,19961,-832.641922186769,0
"LCG len1200 - LCG len900",-0.196771131000001,8.17123261560718e-06,19961,-24080.9606404014,0
"MT len1200 - LCG len900",-0.0626985710000035,7.5509520550348e-05,19961,-830.339943136013,0
"RANDU len1200 - LCG len900",-0.0628886125999992,7.2095814031529e-05,19961,-872.292149617684,0
"XOR len1200 - LCG len900",-0.0627265028000009,7.71390398660096e-05,19961,-813.161570444183,0
"LCG len1500 - LCG len900",-0.2070744366,7.24025896464937e-06,19961,-28600.4185224648,0
"MT len1500 - LCG len900",-0.0544619813999987,6.43015434666548e-05,19961,-846.977824540734,0
"RANDU len1500 - LCG len900",-0.0547180297999957,6.52553901699708e-05,19961,-838.52122648369,0
"XOR len1500 - LCG len900",-0.0544749627999993,6.34727463388991e-05,19961,-858.241780009674,0
