"contrast","algo","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"len300 - len600","LCG",-0.0828456218000292,7.95821486366158e-05,19961,-0.083062723794636,-0.0826285198054224,-1041.00760307836,0
"len300 - len900","LCG",-0.15486903680003,7.59087854909742e-05,19961,-0.155076117772592,-0.154661955827467,-2040.19911263689,0
"len300 - len1200","LCG",0.0419020941999714,7.58061170723346e-05,19961,0.0416952933092974,0.0421088950906453,552.75346922186,0
"len300 - len1500","LCG",0.05220539979997,7.57114237945699e-05,19961,0.0519988572348104,0.0524119423651296,689.531343930613,0
"len600 - len900","LCG",-0.0720234150000006,2.55640379927519e-05,19961,-0.0720931543037705,-0.0719536756962307,-2817.37239713152,0
"len600 - len1200","LCG",0.124747716000001,2.525754757225e-05,19961,0.124678812809389,0.124816619190612,4939.02726078831,0
"len600 - len1500","LCG",0.135051021599999,2.49719045485381e-05,19961,0.134982897650351,0.135119145549647,5408.11860535104,0
"len900 - len1200","LCG",0.196771131000001,8.17123261560718e-06,19961,0.196748839683046,0.196793422316956,24080.9606404014,0
"len900 - len1500","LCG",0.2070744366,7.24025896464937e-06,19961,0.207054685001311,0.207094188198689,28600.4185224648,0
"len1200 - len1500","LCG",0.0103033055999986,6.07000994602128e-06,19961,0.0102867464684705,0.0103198647315267,1697.41165033051,0
"len300 - len600","MT",-0.0550235478000011,0.000135518193203992,19961,-0.0553932446548125,-0.0546538509451896,-406.023327931885,0
"len300 - len900","MT",-0.0917398714000022,0.000138400158257407,19961,-0.0921174303240365,-0.091362312475968,-662.859584519964,0
"len300 - len1200","MT",-0.107175036599999,0.000129373510765738,19961,-0.107527970614947,-0.106822102585051,-828.415615883422,0
"len300 - len1500","MT",-0.115411626200004,0.000123168608363916,19961,-0.115747633093596,-0.115075619306412,-937.021435356373,0
"len600 - len900","MT",-0.0367163236000011,0.000123958880017304,19961,-0.0370544863734626,-0.0363781608265397,-296.197606777956,0
"len600 - len1200","MT",-0.052151488799998,0.000113792378555511,19961,-0.0524619171156276,-0.0518410604843684,-458.303881701156,0
"len600 - len1500","MT",-0.0603880784000028,0.000106685079630525,19961,-0.0606791178350943,-0.0600970389649113,-566.040524215199,0
"len900 - len1200","MT",-0.0154351651999969,0.000117209762962484,19961,-0.0157549162215825,-0.0151154141784112,-131.688391904156,0
"len900 - len1500","MT",-0.0236717548000016,0.000110322841389135,19961,-0.0239727181357069,-0.0233707914642964,-214.568030535994,0
"len1200 - len1500","MT",-0.00823658960000481,9.87624970034101e-05,19961,-0.00850601604122457,-0.00796716315878505,-83.3979481069663,0
"len300 - len600","RANDU",-0.0551012832000138,0.000136521930625798,19961,-0.0554737182743891,-0.0547288481256384,-403.607559220976,0
"len300 - len900","RANDU",-0.091799935800008,0.000132873050488196,19961,-0.0921624166425672,-0.0914374549574488,-690.884535748379,0
"len300 - len1200","RANDU",-0.107059802000008,0.000124634796809458,19961,-0.107399808690557,-0.106719795309459,-858.988057433762,0
"len300 - len1500","RANDU",-0.115230384800012,0.000120806838056053,19961,-0.115559948728021,-0.114900820872002,-953.839920440147,0
"len600 - len900","RANDU",-0.0366986525999943,0.000124655875780145,19961,-0.0370387167944771,-0.0363585884055114,-294.399701340348,0
"len600 - len1200","RANDU",-0.0519585187999943,0.00011583467700223,19961,-0.0522745185543694,-0.0516425190456191,-448.557548953963,0
"len600 - len1500","RANDU",-0.0601291015999979,0.000111705559134616,19961,-0.0604338370226053,-0.0598243661773904,-538.28208789087,0
"len900 - len1200","RANDU",-0.0152598662,0.000111510907091874,19961,-0.0155640706072045,-0.0149556617927956,-136.846400033562,0
"len900 - len1500","RANDU",-0.0234304490000036,0.00010721539976057,19961,-0.0237229351610253,-0.0231379628389819,-218.536227559918,0
"len1200 - len1500","RANDU",-0.00817058280000357,9.68180095618312e-05,19961,-0.00843470463322661,-0.00790646096678054,-84.3911462028722,0
"len300 - len600","XOR",-0.0550148467999996,0.000133199867464877,19961,-0.0553782192070456,-0.0546514743929535,-413.024786338517,0
"len300 - len900","XOR",-0.0916059724000011,0.000138084753985398,19961,-0.0919826708936784,-0.0912292739063238,-663.403958482543,0
"len300 - len1200","XOR",-0.107059697999999,0.000127285954426709,19961,-0.107406937111595,-0.106712458888404,-841.095928315048,0
"len300 - len1500","XOR",-0.115311238000001,0.000119499256276642,19961,-0.115637234813811,-0.114985241186191,-964.953603837114,0
"len600 - len900","XOR",-0.0365911256000015,0.000127376187564798,19961,-0.0369386108697445,-0.0362436403302585,-287.268180179966,0
"len600 - len1200","XOR",-0.0520448511999998,0.000115581175239106,19961,-0.0523601593955347,-0.0517295430044648,-450.28830250543,0
"len600 - len1500","XOR",-0.0602963912000014,0.000106945622285372,19961,-0.0605881414016532,-0.0600046409983496,-563.804201719521,0
"len900 - len1200","XOR",-0.0154537255999983,0.000121178391886509,19961,-0.0157843031356957,-0.0151231480643008,-127.528723227088,0
"len900 - len1500","XOR",-0.0237052655999999,0.00011297150400235,19961,-0.0240134545503212,-0.0233970766496785,-209.834026813583,0
"len1200 - len1500","XOR",-0.00825154000000161,9.94830419099823e-05,19961,-0.00852293210486706,-0.00798014789513616,-82.9441866832747,0
