"contrast","len","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"LCG - MT","300",0.0150045707999728,0.000129606949307602,19961,0.0146715783967107,0.0153375632032349,115.769801543294,0
"LCG - RANDU","300",0.0150793777999775,0.0001268785635542,19961,0.0147533952965232,0.0154053603034317,118.848900693425,0
"LCG - XOR","300",0.0149171639999704,0.000126544167931925,19961,0.0145920406418205,0.0152422873581204,117.881086451927,0
"MT - RANDU","300",7.48070000046713e-05,0.000146472485950641,19961,-0.000301517150583306,0.000451131150592649,0.510723905033467,0.956564972002963
"MT - XOR","300",-8.74068000023664e-05,0.000146182918593678,19961,-0.000462986980219799,0.000288173380215066,-0.597927588553063,0.932722102119519
"RANDU - XOR","300",-0.000162213800007038,0.000143769448316812,19961,-0.000531593176394206,0.000207165576380131,-1.12829117664542,0.672016242872042
"LCG - MT","600",0.0428266448000009,8.88849692696815e-05,19961,0.0425982772650106,0.0430550123349913,481.82100024204,0
"LCG - RANDU","600",0.0428237163999929,9.41986519746283e-05,19961,0.0425816966960136,0.0430657361039722,454.61071365997,0
"LCG - XOR","600",0.0427479390000001,8.97891788396467e-05,19961,0.042517248326325,0.0429786296736752,476.092325962164,0
"MT - RANDU","600",-2.92840000801903e-06,0.000124696548029641,19961,-0.000323304764305685,0.000317447964289647,-0.0234842107042365,0.999995348858141
"MT - XOR","600",-7.87058000008556e-05,0.000121399916364754,19961,-0.000390612299784118,0.000233200699782407,-0.648318403814865,0.91617310882269
"RANDU - XOR","600",-7.577739999284e-05,0.000125342682136351,19961,-0.000397813843091624,0.000246259043105944,-0.604561819655394,0.930659458349014
"LCG - MT","900",0.0781337362000004,9.01043073974102e-05,19961,0.0779022358828891,0.0783652365171116,867.147625422468,0
"LCG - RANDU","900",0.0781484787999992,8.55524480723541e-05,19961,0.077928673338635,0.0783682842613635,913.456956064037,0
"LCG - XOR","900",0.0781802283999991,9.38941774570685e-05,19961,0.0779389909665839,0.0784214658334144,832.641922186769,0
"MT - RANDU","900",1.47425999988682e-05,0.000123917965651277,19961,-0.00030363339303249,0.000333118593030226,0.118970642564904,0.999398359902634
"MT - XOR","900",4.64921999987628e-05,0.000129817400221687,19961,-0.000287040903866414,0.00038002530386394,0.358135349493741,0.984271788947696
"RANDU - XOR","900",3.17495999998946e-05,0.000126700404734648,19961,-0.000293775169252583,0.000357274369252372,0.25058799193569,0.99447922665016
"LCG - MT","1200",-0.134072559999998,7.54063085199974e-05,19961,-0.134266297511986,-0.13387882248801,-1778.00190237986,0
"LCG - RANDU","1200",-0.133882518400002,7.19877077822209e-05,19961,-0.134067472678671,-0.133697564121332,-1859.79693651348,0
"LCG - XOR","1200",-0.1340446282,7.70380110226077e-05,19961,-0.13424255796048,-0.133846698439521,-1739.98038657389,0
"MT - RANDU","1200",0.000190041599995722,0.000104005522560215,19961,-7.71743872247125e-05,0.000457257587216156,1.82722604836387,0.260460659492453
"MT - XOR","1200",2.79317999973827e-05,0.000107562882973656,19961,-0.000248423928569249,0.000304287528564015,0.259678796488038,0.993866942935675
"RANDU - XOR","1200",-0.000162109799998339,0.00010519454596475,19961,-0.000432380683295921,0.000108161083299243,-1.54104757534351,0.41288469239757
"LCG - MT","1500",-0.152612455200001,6.40684358360693e-05,19961,-0.152777062904575,-0.152447847495428,-2382.02249217521,0
"LCG - RANDU","1500",-0.152356406800004,6.50257020302093e-05,19961,-0.152523473958891,-0.152189339641117,-2343.01825344728,0
"LCG - XOR","1500",-0.1525994738,6.32365836054468e-05,19961,-0.152761944269843,-0.152437003330158,-2413.15177227342,0
"MT - RANDU","1500",0.000256048399996933,9.11625420161179e-05,19961,2.18292156429711e-05,0.000490267584350895,2.80870184545384,0.025645473095905
"MT - XOR","1500",1.29814000005835e-05,8.9895120270277e-05,19961,-0.000217981463489807,0.000243944263490974,0.144406058544155,0.998926791873689
"RANDU - XOR","1500",-0.00024306699999635,9.05798548378645e-05,19961,-0.000475789116447138,-1.0344883545561e-05,-2.68345539338116,0.0366560285650637
