"group","p","sig"
"LCG.300",8.62597709275305e-29,"Not Normal"
"MT.300",1.22060741577847e-20,"Not Normal"
"RANDU.300",2.63753155021491e-20,"Not Normal"
"XOR.300",1.75427517417392e-21,"Not Normal"
"LCG.600",4.33119837400064e-31,"Not Normal"
"MT.600",0.00135805337582148,"Not Normal"
"RANDU.600",0.00256271436401375,"Not Normal"
"XOR.600",6.03526821037878e-06,"Not Normal"
"LCG.900",5.82167414706182e-15,"Not Normal"
"MT.900",0.0376199910094449,"Not Normal"
"RANDU.900",0.929065688235714,"Normal"
"XOR.900",0.00183537352944561,"Not Normal"
"LCG.1200",1.98957127358888e-28,"Not Normal"
"MT.1200",0.626128265476949,"Normal"
"RANDU.1200",0.385643996191521,"Normal"
"XOR.1200",0.241535365656695,"Normal"
"LCG.1500",4.93777571502933e-23,"Not Normal"
"MT.1500",0.111978683909765,"Normal"
"RANDU.1500",0.00980778877854111,"Not Normal"
"XOR.1500",0.351741238088697,"Normal"
