"Term","Value","Std.Error","t-value","p-value"
"(Intercept)",0.813033564799937,7.56371008759576e-05,10749.1370687685,0
"algoMT",-0.0150045707999728,0.000129606949307602,-115.769801543294,0
"algoRANDU",-0.0150793777999775,0.0001268785635542,-118.848900693425,0
"algoXOR",-0.0149171639999704,0.000126544167931925,-117.881086451927,0
"len600",0.0828456218000292,7.95821486366158e-05,1041.00760307836,0
"len900",0.15486903680003,7.59087854909742e-05,2040.19911263689,0
"len1200",-0.0419020941999714,7.58061170723346e-05,-552.75346922186,0
"len1500",-0.05220539979997,7.57114237945699e-05,-689.531343930613,0
"algoMT:len600",-0.0278220740000281,0.000157157561290874,-177.032996513186,0
"algoRANDU:len600",-0.0277443386000154,0.000158023909341008,-175.570511549265,0
"algoXOR:len600",-0.0278307750000296,0.00015516289206599,-179.364889565176,0
"algoMT:len900",-0.0631291654000276,0.000157850396009606,-399.930358085295,0
"algoRANDU:len900",-0.0630691010000218,0.000153027419963723,-412.142484104961,0
"algoXOR:len900",-0.0632630644000287,0.00015757392867452,-401.481799255655,0
"algoMT:len1200",0.14907713079997,0.000149946899512583,994.199488516003,0
"algoRANDU:len1200",0.148961896199979,0.000145878031112706,1021.14002405812,0
"algoXOR:len1200",0.148961792199971,0.000148149524399853,1005.48275671764,0
"algoMT:len1500",0.167617025999974,0.000144577749945505,1159.35561359305,0
"algoRANDU:len1500",0.167435784599982,0.000142571076358787,1174.40219205908,0
"algoXOR:len1500",0.167516637799971,0.000141464808145602,1184.15767140867,0
